#	< Density >
1	0.835804
2	0.835804
3	0.835804
4	0.835804
5	0.835804
6	0.835804
7	0.835804
8	0.836304
9	0.836248
10	0.837003
11	0.837622
12	0.838470
13	0.838265
14	0.838375
15	0.838470
16	0.839053
17	0.839568
18	0.839803
19	0.840013
20	0.840003
21	0.840184
22	0.840166
23	0.840151
24	0.840136
25	0.839963
26	0.839957
27	0.839803
28	0.839660
29	0.839389
30	0.839136
31	0.839158
32	0.839178
33	0.839076
34	0.838979
35	0.838889
36	0.838803
37	0.838830
38	0.838750
39	0.838675
40	0.838603
41	0.838535
42	0.838470
43	0.838408
44	0.838349
45	0.838203
46	0.838064
47	0.837846
48	0.837637
49	0.837436
50	0.837243
51	0.837058
52	0.836880
53	0.836785
54	0.836618
55	0.836458
56	0.836304
57	0.836155
58	0.836011
59	0.835939
60	0.835870
61	0.836000
62	0.836126
63	0.836248
64	0.836366
65	0.836481
66	0.836591
67	0.836699
68	0.836745
69	0.836789
70	0.836832
71	0.836930
72	0.837026
73	0.837064
74	0.837101
75	0.837190
76	0.837277
77	0.837362
78	0.837342
79	0.837272
80	0.837253
81	0.837236
82	0.837218
83	0.837201
84	0.837137
85	0.837027
86	0.836873
87	0.836723
88	0.836576
89	0.836433
90	0.836337
91	0.836243
92	0.836108
93	0.836019
94	0.835931
95	0.835804
96	0.835679
97	0.835556
98	0.835436
99	0.835238
100	0.835084
